关系ID,关系类型,起始节点ID,结束节点ID,关系属性
7636,MENTIONS,1079,1103,{}
7637,MENTIONS,1080,1100,{}
7638,MENTIONS,1080,1103,{}
7639,MENTIONS,1080,1169,{}
7640,MENTIONS,1080,140,{}
7641,MENTIONS,1081,1100,{}
7642,MENTIONS,1081,1103,{}
7643,MENTIONS,1081,1169,{}
7644,MENTIONS,1081,1111,{}
7645,MENTIONS,1083,1109,{}
7646,MENTIONS,1083,1111,{}
7647,MENTIONS,1083,1110,{}
7648,MENTIONS,1083,141,{}
7649,MENTIONS,1083,1103,{}
7650,MENTIONS,1084,1109,{}
7651,MENTIONS,1084,1100,{}
7652,MENTIONS,1084,142,{}
7653,MENTIONS,1085,143,{}
7654,MENTIONS,1085,1111,{}
7655,MENTIONS,1085,1100,{}
7656,MENTIONS,1085,1103,{}
7657,MENTIONS,1086,1099,{}
7658,MENTIONS,1086,1111,{}
7659,MENTIONS,1086,1100,{}
7660,MENTIONS,1086,144,{}
7661,MENTIONS,1087,1109,{}
7662,MENTIONS,1087,1111,{}
7663,MENTIONS,1087,1100,{}
7664,MENTIONS,1087,145,{}
7665,MENTIONS,1087,146,{}
7666,MENTIONS,1087,1103,{}
7667,MENTIONS,1087,1117,{}
7668,MENTIONS,1088,1109,{}
7669,MENTIONS,1088,1100,{}
7670,MENTIONS,1088,147,{}
7671,MENTIONS,1088,1098,{}
7672,MENTIONS,1089,1109,{}
7673,MENTIONS,1089,1111,{}
7674,MENTIONS,1089,1100,{}
7675,MENTIONS,1089,148,{}
7676,MENTIONS,1090,1109,{}
7677,MENTIONS,1090,1111,{}
7678,MENTIONS,1090,1100,{}
7679,MENTIONS,1090,149,{}
7680,MENTIONS,1091,1169,{}
7681,MENTIONS,1091,1111,{}
7682,MENTIONS,1091,1100,{}
7683,MENTIONS,1091,1103,{}
7684,MENTIONS,1092,1103,{}
7685,MENTIONS,1092,1110,{}
7686,MENTIONS,1093,1100,{}
7687,MENTIONS,1093,1103,{}
7688,MENTIONS,1093,1169,{}
7689,MENTIONS,1093,1111,{}
7690,MENTIONS,1094,1100,{}
7691,MENTIONS,1094,1102,{}
7692,MENTIONS,1094,1169,{}
7693,MENTIONS,1094,120,{}
7694,MENTIONS,1095,1169,{}
7695,MENTIONS,1095,1111,{}
7696,MENTIONS,1095,1109,{}
7697,MENTIONS,1095,1100,{}
7698,MENTIONS,1095,1103,{}
7699,MENTIONS,1096,1109,{}
7700,MENTIONS,1096,150,{}
7701,MENTIONS,1096,151,{}
7702,MENTIONS,1096,152,{}
7703,MENTIONS,1096,153,{}
7704,OCCURS_IN_STAGE,1097,1098,{triplet_source_id: e5f9f90a-53c2-466f-8dba-626a24bde463}
7705,OCCURS_IN_STAGE,1099,1098,{triplet_source_id: e5f9f90a-53c2-466f-8dba-626a24bde463}
7706,CAUSED_BY,1100,1097,{triplet_source_id: e5f9f90a-53c2-466f-8dba-626a24bde463}
7707,CAUSED_BY,1100,1099,{triplet_source_id: e5f9f90a-53c2-466f-8dba-626a24bde463}
7708,CAUSED_BY,1101,1097,{triplet_source_id: e5f9f90a-53c2-466f-8dba-626a24bde463}
7709,ROOT_CAUSE_IS,1102,1100,{triplet_source_id: e5f9f90a-53c2-466f-8dba-626a24bde463}
7710,ROOT_CAUSE_IS,1100,1103,{triplet_source_id: 19027a5a-1a4c-420c-8040-8a068b1e21fc}
7711,OCCURS_IN_STAGE,1104,1105,{triplet_source_id: 19027a5a-1a4c-420c-8040-8a068b1e21fc}
7712,CAUSED_BY,1106,1100,{triplet_source_id: 19027a5a-1a4c-420c-8040-8a068b1e21fc}
7713,CAUSED_BY,1106,1107,{triplet_source_id: 19027a5a-1a4c-420c-8040-8a068b1e21fc}
7714,CAUSED_BY,1106,1108,{triplet_source_id: 19027a5a-1a4c-420c-8040-8a068b1e21fc}
7715,OCCURS_IN_STAGE,1109,1105,{triplet_source_id: 2ef3bdac-21e9-4f44-9ef1-03b49c74552b}
7716,CAUSED_BY,1110,1109,{triplet_source_id: 2ef3bdac-21e9-4f44-9ef1-03b49c74552b}
7717,ROOT_CAUSE_IS,1103,1110,{triplet_source_id: 2ef3bdac-21e9-4f44-9ef1-03b49c74552b}
7718,OCCURS_IN_STAGE,1099,1111,{triplet_source_id: 65471ea0-e3b4-4628-80ce-e46c2fa8ef82}
